SAN JOSE BUILDING ID,STREET,CITY,STATE,ZIP CODE,ASSESSOR PARCEL NUMBER,YEAR BUILT,PRIMARY PROPERTY TYPE,ASSESSOR GROSS FLOOR AREA (ft^2),REPORTED GROSS FLOOR AREA (ft^2),ANNUAL REPORTING YEAR,ANNUAL BENCHMARKING STATUS,ENERGY STAR SCORE,WEATHER NORMALIZED SITE ENERGY USE INTENSITY (kBTU/ft^2),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (kBTU/ft^2),SITE ENERGY USE INTENSITY (kBTU/ft^2),SOURCE ENERGY USE INTENSITY (kBTU/ft^2),TOTAL ELECTRICITY USE (kWh),TOTAL NATURAL GAS USE (therms),INDIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),DIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),TOTAL GREENHOUSE GAS EMISSIONS (metric tons of CO2e),MUNICIPALLY SUPPLIED WATER INDOOR USE (kgal),MUNICIPALLY SUPPLIED WATER MIXED USE (kgal),MUNICIPALLY SUPPLIED WATER OUTDOOR USE (kgal),RECYCLED WATER INDOOR USE (kgal),RECYCLED WATER MIXED USE (kgal),RECYCLED WATER OUTDOOR USE (kgal),WELL WATER INDOOR USE (kgal),WELL WATER MIXED USE (kgal),WELL WATER OUTDOOR USE (kgal),OTHER WATER INDOOR USE (kgal),OTHER WATER MIXED USE (kgal),OTHER WATER OUTDOOR USE (kgal),TOTAL WATER USE (kgal),WATER USE INTENSITY (gal/ft^2),US EPA WATER SCORE
0001-0-00,1621 gold st,alviso,CA,95002,1503017,1972,medical office,25864,29874,2020,pending revisions,90,30.5,68.8,31.9,70.2,183961.9,3243.900121,,17.2,,,,,,,,,,,,,,,,
0002-0-00,175 nortech pkwy,san jose,CA,95134,1530081,1984,worship facility,45820,47860,2020,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0003-0-00,161 nortech pkwy,san jose,CA,95134,1530082,1996,worship facility,71800,71800,2020,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0004-0-00,155 baytech dr,san jose,CA,95134,1530089,1992,manufacturing/industrial plant,28905,28000,2020,pending revisions,,31.9,76.1,32.2,75.3,194955.8,2354.274685,,12.5,,111.2,,,,,,,,,,,,111.2,3.97,
0006-0-00,4620 fortran dr,san jose,CA,95134,1530091,1980,office,39760,39760,2020,in compliance,,,,,,,,,,,,,,,,,,,,,,,,,
0007-0-00,150 nortech pkwy,san jose,CA,95134,1530092,1986,manufacturing/industrial plant,39950,39950,2020,pending revisions,,30.2,56.6,31.5,57.5,162843.3,7047.57999,,37.4,,,,,,,,,,,,,,745324.9,18656.44,
0008-0-00,170 baytech dr,san jose,CA,95134,1530099,1997,office,76799,76799,2020,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0008-1-00,180 baytech dr,san jose,CA,95134,1530099,1997,office,74012,74012,2020,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0009-0-00,150-160 baytech dr,san jose,CA,95134,1530100,2000,office,150000,150000,2020,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0010-0-00,4435 fortran dr,san jose,CA,95134,1530101,1986,worship facility,77805,77805,2020,pending revisions,71,19.3,39.5,19.8,40.1,250430.5,6800.000131,,36.1,,,,,,,,,,,,,,890.6,11.49,
0011-0-00,4425 fortran dr,san jose,CA,95134,1530102,1986,office,76297,76319,2020,pending revisions,100,8.1,19.6,8.6,20.2,142253.4,1742.118338,,9.3,,210.7,,1250.8,,,,,,,,,,1461.5,19.15,
0012-0-00,4415 fortran dr,san jose,CA,95134,1530103,1986,worship facility,76567,76567,2020,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0013-0-00,4413 fortran dr,san jose,CA,95134,1530104,1986,worship facility,66368,66000,2020,in compliance,,,,,,,,,0,,,,,,,,,,,,,,,,
0013-1-00,110 baytech dr,san jose,CA,95134,1530107,1997,office,55976,57976,2020,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0013-2-00,120 baytech dr,san jose,CA,95134,1530108,1997,,132265,,2020,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0014-0-00,2160 gold st,alviso,CA,95002,1534081,1999,office,127124,127124,2020,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0015-0-00,2099 gold st,alviso,CA,95002,1534100,2001,office,22302,22000,2020,in compliance,21,61.8,127.7,63.4,127.7,225171.6,6274.16133,,33.3,,194.8,,687.6,,,,,,,,,,882.4,40.11,
0016-0-00,2131 gold st,alviso,CA,95002,1534101,2001,hotel,44316,54439,2020,in compliance,95,29.6,64.4,29.3,63.6,298602,5785,61.7,30.7,92.4,2445,,,,,,,,,,,,2445,44.91,
0020-0-00,2077 gold st,alviso,CA,95002,1534125,2007,financial office,24446,25000,2020,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0021-0-00,110 nortech pkwy,san jose,CA,95134,1539033,1984,office,50772,52040,2020,pending revisions,,,,,,,,,0,,,,,,,,,,,,,,,,
