SAN JOSE BUILDING ID,STREET,CITY,STATE,ZIP CODE,ASSESSOR PARCEL NUMBER,YEAR BUILT,PRIMARY PROPERTY TYPE,ASSESSOR GROSS FLOOR AREA (ft^2),REPORTED GROSS FLOOR AREA (ft^2),ANNUAL REPORTING YEAR,ANNUAL BENCHMARKING STATUS,ENERGY STAR SCORE,WEATHER NORMALIZED SITE ENERGY USE INTENSITY (kBTU/ft^2),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (kBTU/ft^2),SITE ENERGY USE INTENSITY (kBTU/ft^2),SOURCE ENERGY USE INTENSITY (kBTU/ft^2),TOTAL ELECTRICITY USE (kWh),TOTAL NATURAL GAS USE (therms),INDIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),DIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),TOTAL GREENHOUSE GAS EMISSIONS (metric tons of CO2e),MUNICIPALLY SUPPLIED WATER INDOOR USE (kgal),MUNICIPALLY SUPPLIED WATER MIXED USE (kgal),MUNICIPALLY SUPPLIED WATER OUTDOOR USE (kgal),RECYCLED WATER INDOOR USE (kgal),RECYCLED WATER MIXED USE (kgal),RECYCLED WATER OUTDOOR USE (kgal),WELL WATER INDOOR USE (kgal),WELL WATER MIXED USE (kgal),WELL WATER OUTDOOR USE (kgal),OTHER WATER INDOOR USE (kgal),OTHER WATER MIXED USE (kgal),OTHER WATER OUTDOOR USE (kgal),TOTAL WATER USE (kgal),WATER USE INTENSITY (gal/ft^2),US EPA WATER SCORE
0001-0-00,1621 gold st,alviso,CA,95002,1503017,1972,medical office,25864,29874,2021,in compliance,89,32.7,71.6,33.7,72.7,186702.7,3698.519745,,19.6,,,,,,,,,,,,,,,,
0002-0-00,175 nortech pkwy,san jose,CA,95134,1530081,1984,worship facility,45820,47860,2021,in compliance,87,5,14,5,14,70119.6,10,,0.1,,16,,503.9,,,,,,,,,,519.9,10.86,
0003-0-00,161 nortech pkwy,san jose,CA,95134,1530082,1996,worship facility,71800,71800,2021,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0004-0-00,155 baytech dr,san jose,CA,95134,1530089,1992,manufacturing/industrial plant,28905,28000,2021,in compliance,,32.7,79,33.5,79.4,207284.7,2309.12897,,12.3,,101.2,,,,,,,,,,,,101.2,3.61,
0006-0-00,4620 fortran dr,san jose,CA,95134,1530091,1980,office,39760,39760,2021,in compliance,88,37.2,74.9,38.1,76,240252.1,6934.900157,,36.8,,,,,,,,,,,,,,132.2,3.32,
0007-0-00,150 nortech pkwy,san jose,CA,95134,1530092,1986,manufacturing/industrial plant,39950,39950,2021,in compliance,,28.5,51.4,29,52,143906.7,6685.414596,,35.5,,,,,,,,,,,,,,,,
0008-0-00,170 baytech dr,san jose,CA,95134,1530099,1997,office,76799,76799,2021,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0008-1-00,180 baytech dr,san jose,CA,95134,1530099,1997,office,74012,74012,2021,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0009-0-00,150-160 baytech dr,san jose,CA,95134,1530100,2000,office,150000,150000,2021,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0010-0-00,4435 fortran dr,san jose,CA,95134,1530101,1986,worship facility,77805,77805,2021,in compliance,85,15.3,28.8,15.5,29.1,165847.9,6392.49886,,34,,,,,,,,,,,,,,208.8,2.69,
0011-0-00,4425 fortran dr,san jose,CA,95134,1530102,1986,office,76297,76319,2021,in compliance,100,16.5,28.2,16.5,28.2,138484.2,7878.6471,,41.8,,165.8,,660.8,,,,,,,,,,826.6,10.83,
0012-0-00,4415 fortran dr,san jose,CA,95134,1530103,1986,worship facility,76567,76567,2021,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0013-0-00,4413 fortran dr,san jose,CA,95134,1530104,1986,worship facility,66368,66000,2021,in compliance,91,5.9,15.1,5.9,15.1,98487.3,557.2699916,,3,,261.3,,,,,,,,,,,,261.3,3.96,
0013-1-00,110 baytech dr,san jose,CA,95134,1530107,1997,office,55976,57976,2021,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0013-2-00,120 baytech dr,san jose,CA,95134,1530108,1997,,132265,,2021,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0014-0-00,2160 gold st,alviso,CA,95002,1534081,1999,office,127124,127124,2021,pending revisions,7,156.8,406,157.2,406.4,2594262,12344.55124,,65.6,,,,,,,,,,,,,,,,
0015-0-00,2099 gold st,alviso,CA,95002,1534100,2001,office,22302,22000,2021,in compliance,43,46.5,94.5,47.2,94.9,166842.5,4698.287326,,25,,62.7,,808.7,,,,,,,,,,871.4,39.61,
0016-0-00,2131 gold st,alviso,CA,95002,1534101,2001,hotel,44316,54439,2021,in compliance,98,24.2,53,24.1,52.7,250337,4571,58.5,24.3,82.8,1785,,,,,,,,,,,,1785,32.79,
0017-0-00,2100 gold st,alviso,CA,95002,1534120,1999,office,70755,71169,2022,pending revisions,88,29.8,72.3,29.9,72.2,486306.9,4671.302822,,24.8,,,,,,,,,,,,,,74.9,1.05,
0018-0-00,2130 gold st,alviso,CA,95002,1534121,1999,office,52153,52142,2022,pending revisions,100,3.6,9.2,3.6,9.2,47082,273.777784,,1.5,,,,,,,,,,,,,,57.1,1.09,
0019-0-00,2150 gold st,alviso,CA,95002,1534123,1999,office,52153,52214,2022,pending revisions,93,22.3,55,23.1,55.9,275922.1,2671.215481,,14.2,,,,,,,,,,,,,,41.6,0.8,
0020-0-00,2077 gold st,alviso,CA,95002,1534125,2007,financial office,24446,25000,2021,in compliance,87,67.3,122.4,68.6,123.8,216746.1,9750.331438,,51.8,,0.3,,,,,8.2,,,,,,,8.6,0.34,
0021-0-00,110 nortech pkwy,san jose,CA,95134,1539033,1984,office,50772,52040,2021,in compliance,,5.8,15.9,5.8,16,86403.2,81.9999986,,0.4,,,,,,,,,,,,,,556.3,10.69,
0022-0-00,4300 n 1st st,san jose,CA,95134,1539044,2001,office,188332,188000,2021,in compliance,,,,,,,16812.64806,,89.3,,,,,,,,,,,,,,5393386.9,28688.23,
0023-0-00,4400 n 1st st,san jose,CA,95134,1539045,2001,office,188332,188000,2021,in compliance,,7.2,20.2,7.2,20.2,396894.2,,,0,,,,4893.5,,,,,,,,,,4893.5,26.03,
0025-0-00,4453 n 1st st,san jose,CA,95134,1539057,2018,office,184351,187660,2021,exempt,,,,,,,,,,,,,,,,,,,,,,,,,
0026-0-00,4353 n 1st st,san jose,CA,95134,1539058,2016,office,184351,182717,2021,exempt,,,,,,,,,,,,,,,,,,,,,,,,,
0027-0-00,5093 disk dr,san jose,CA,95134,1544021,1990,other,168011,200405,2021,in compliance,74,14.8,30.5,15,30.7,832400.8,21561.51149,,114.5,,,,,,,,,,,,,,1998.4,6.01,
0028-0-00,5087 disk dr,san jose,CA,95134,1544026,1990,refrigerated warehouse,395200,178712,2021,in compliance,89,10.7,19,10.7,19,418932.2,20058.87123,,106.5,,,,,,,,,,,,,,147.6,0.46,
0029-0-00,5079 disk dr,san jose,CA,95134,1544026,2017,non-refrigerated warehouse,395200,259086,2021,in compliance,,,,,,,,,0,,,,,,,0,,,,,,,2026.6,8.7,
0029-1-00,4550 n 1st st,san jose,CA,95134,1544027,2018,office,332000,83051,2021,in compliance,,1.7,4.8,1.7,4.8,41726.4,,,0,,0.7,,,,,3041.6,,,,,,,3042.3,36.63,
0030-0-00,4500 n 1st st,san jose,CA,95134,1544028,2016,,83000,,2021,exempt,,,,,,,,,,,,,,,,,,,,,,,,,
0030-1-00,656 america center ct,alviso,CA,95002,1545013,2019,hotel,166340,166340,2021,in compliance,99,38.1,76.6,38.1,76.6,1168644,23501.52124,,124.8,,,,,,,,,,,,,,3613.4,21.72,
0031-0-00,510 america center court,san jose,CA,95002,1545048,2021,hotel,82360,92684,2021,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0032-0-00,6001 america center dr,alviso,CA,95002,1545049,2009,office,212863,212863,2021,in compliance,83,52.7,132,52.7,132,2734267,18845.77119,,100.1,,100.1,,2984.3,,,,,,,,,,3084.4,14.49,
0033-0-00,6220 america center drive,san jose,CA,95002,1545051,2017,office,215834,220761,2021,in compliance,100,18.5,46.2,18.5,46.2,990864,7031.451597,,37.3,,376,,1516.1,,,,,,,,,,1892,8.57,
0034-0-00,6280 america center dr,alviso,CA,95002,1545052,2017,office,481246,220761,2021,in compliance,79,68,154.4,68,154.4,3069510,45333.83934,,240.8,,934.5,,1815.4,,,,,,,,,,2749.9,12.46,
0035-0-00,6201 america center dr,alviso,CA,95002,1545053,2009,office,213800,209212,2021,in compliance,87,44.1,97,44.3,97.3,1778555,32056.16259,,170.3,,1047.3,,2984.3,,,,,,,,,,4031.6,19.27,
0037-0-00,1900-1902 lakewood dr,san jose,CA,95132,9201016,1975,multifamily housing,140800,113629,2021,in compliance,95,33.8,59.5,34.2,60,458459.8,23213.44085,,123.3,,,,,,,,,,,,,,9138.2,80.42,23
0038-0-00,1953 via reggio ct,san jose,CA,95132,9201018,1988,multifamily housing,37530,39290,2021,exempt,,,,,,,,,,,,,,,,,,,,,,,,,
0039-0-00,2155 morrill ave,san jose,CA,95132,9209010,1990,retail store,108268,108268,2021,in compliance,92,48.8,136.1,48.7,135.8,1535046,331.0000048,,1.8,,1149,,,,,,,,,,,,1149,10.61,
