SAN JOSE BUILDING ID,STREET,CITY,STATE,ZIP CODE,ASSESSOR PARCEL NUMBER,YEAR BUILT,PRIMARY PROPERTY TYPE,ASSESSOR GROSS FLOOR AREA (ft^2),REPORTED GROSS FLOOR AREA (ft^2),ANNUAL REPORTING YEAR,ANNUAL BENCHMARKING STATUS,BEYOND BENCHMARKING COMPLIANCE YEAR,BEYOND BENCHMARKING COMPLIANCE STATUS,ENERGY STAR SCORE,WEATHER NORMALIZED SITE ENERGY USE INTENSITY (kBTU/ft^2),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (kBTU/ft^2),SITE ENERGY USE INTENSITY (kBTU/ft^2),SOURCE ENERGY USE INTENSITY (kBTU/ft^2),TOTAL ELECTRICITY USE (kWh),TOTAL NATURAL GAS USE (therms),INDIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),DIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),TOTAL GREENHOUSE GAS EMISSIONS (metric tons of CO2e),MUNICIPALLY SUPPLIED WATER INDOOR USE (kgal),MUNICIPALLY SUPPLIED WATER MIXED USE (kgal),MUNICIPALLY SUPPLIED WATER OUTDOOR USE (kgal),RECYCLED WATER INDOOR USE (kgal),RECYCLED WATER MIXED USE (kgal),RECYCLED WATER OUTDOOR USE (kgal),WELL WATER INDOOR USE (kgal),WELL WATER MIXED USE (kgal),WELL WATER OUTDOOR USE (kgal),OTHER WATER INDOOR USE (kgal),OTHER WATER MIXED USE (kgal),OTHER WATER OUTDOOR USE (kgal),TOTAL WATER USE (kgal),WATER USE INTENSITY (gal/ft^2),US EPA WATER SCORE
0001-0-00,1621 gold st,alviso,CA,95002,1503017,1972,medical office,25864,29874,2023,in compliance,,,100,33,69,33.9,70,171852.6,4271.5,40.2,22.7,62.9,,729393770.6,,,,,,,,,,,729393770.6,24415670,
0002-0-00,175 nortech pkwy,san jose,CA,95134,1530081,1984,worship facility,45820,47860,2023,in compliance,,,77,6.7,18.7,6.7,18.7,93872.3,0,21.9,0,21.9,121.5,,138.9,,,,,,,,,,260.4,5.44,
0003-0-00,161 nortech pkwy,san jose,CA,95134,1530082,1996,worship facility,71800,71800,2023,in compliance,,,95,13,26.5,13.8,27.3,154121.5,4642.9,36,24.7,60.7,,,,,1122.2,,,,,,,,1122.2,15.63,
0004-0-00,155 baytech dr,san jose,CA,95134,1530089,1992,manufacturing/industrial plant,28905,28000,2023,in compliance,,,,33,77.5,33.7,77.5,197346.9,2708,46.1,14.4,60.5,95.6,,,,,,,,,,,,95.6,3.41,
0006-0-00,4620 fortran dr,san jose,CA,95134,1530091,1980,office,39760,39760,2023,exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,
0007-0-00,150 nortech pkwy,san jose,CA,95134,1530092,1986,manufacturing/industrial plant,39950,39950,2023,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008-0-00,170 baytech dr,san jose,CA,95134,1530099,1997,office,76799,76799,2023,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008-1-00,180 baytech dr,san jose,CA,95134,1530099,1997,office,74012,74012,2023,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,
0009-0-00,150-160 baytech dr,san jose,CA,95134,1530100,2000,office,150000,150000,2023,in compliance,2023,exempt,71,64.2,134.5,64.2,134.5,1685418,38853.6,394.1,206.4,600.4,1953,502,1055,,,,,,,,,,3510,23.4,
0010-0-00,4435 fortran dr,san jose,CA,95134,1530101,1986,worship facility,77805,77805,2023,in compliance,2023,compliant,92,12.9,23.1,13.6,23.7,123822,6330.2,29,33.6,62.6,,435.4,,,,,,,,7948.8,,,8384.2,107.76,
0011-0-00,4425 fortran dr,san jose,CA,95134,1530102,1986,office,76297,76319,2023,in compliance,,,97,33.7,46.8,34.8,47.9,145952,21546.8,34.1,114.4,148.6,182,,,,,,,,,,,,186.8,2.45,
0012-0-00,4415 fortran dr,san jose,CA,95134,1530103,1986,worship facility,76567,76567,2023,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,
0013-0-00,4413 fortran dr,san jose,CA,95134,1530104,1986,worship facility,66368,66000,2023,in compliance,,,86,7,18.2,7,18.2,120046.9,492.1,28.1,2.6,30.7,209.7,,,,,,,,,,,,209.7,3.18,
0013-1-00,110 baytech dr,san jose,CA,95134,1530107,1997,office,55976,57976,2023,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,
0013-2-00,120 baytech dr,san jose,CA,95134,1530108,1997,,132265,,2023,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,
0014-0-00,2160 gold st,alviso,CA,95002,1534081,1999,office,127124,127124,2023,in compliance,2023,compliant,22,94.2,245.6,94.6,244.6,3093065,14706.8,723.2,78.1,801.3,,139.5,1703.4,,,,,,,,,,1842.9,14.5,
0015-0-00,2099 gold st,alviso,CA,95002,1534100,2001,office,22302,22000,2023,in compliance,,,52,37.4,82.1,39.1,83.2,155411.2,3293.7,37.6,17.5,55.1,155.6,,463.8,,,,,,,,,,619.4,28.16,
0016-0-00,2131 gold st,alviso,CA,95002,1534101,2001,hotel,44316,54439,2023,in compliance,,,92,31.6,69.2,31.2,68.2,323004,5976,75.5,31.7,107.3,1190,,,,,,,,,,,,1190,21.86,
0017-0-00,2100 gold st,alviso,CA,95002,1534120,1999,office,70755,71169,2023,in compliance,2023,compliant,72,56.9,102.1,56.9,102.1,504053,23328.9,117.9,123.9,241.8,,34.2,953.6,,,,,,,,,,987.8,13.88,
0018-0-00,2130 gold st,alviso,CA,95002,1534121,1999,office,52153,52142,2023,in compliance,2023,compliant,96,28.7,50.3,28.7,50.3,176146.7,8975.2,41.2,47.7,88.9,,158.7,698.7,,,,,,,,,,857.4,16.44,
0019-0-00,2150 gold st,alviso,CA,95002,1534123,1999,office,52153,52214,2023,in compliance,2023,compliant,93,29.5,57.5,29.5,57.5,232102.9,7473,54.3,39.7,94,,28.7,699.6,,,,,,,,,,728.3,13.95,
0020-0-00,2077 gold st,alviso,CA,95002,1534125,2007,financial office,24446,25000,2023,in compliance,,,67,113.2,184.9,113.2,184.9,276722.8,18849.2,64.7,100.1,164.8,0.4,,,,,7.2,,,,,,,7.5,0.3,
0021-0-00,110 nortech pkwy,san jose,CA,95134,1539033,1984,office,50772,52040,2023,exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,
0022-0-00,4300 n 1st st,san jose,CA,95134,1539044,2001,office,188332,188000,2023,exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,
0023-0-00,4400 n 1st st,san jose,CA,95134,1539045,2001,office,188332,188000,2023,exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,
0025-0-00,4453 n 1st st,san jose,CA,95134,1539057,2018,office,184351,187660,2023,in compliance,,,100,16.6,16.6,16.6,16.6,903625,249.5,0,1.3,1.3,,3713.1,,,,,,,,,,,3713.1,19.79,
0026-0-00,4353 n 1st st,san jose,CA,95134,1539058,2016,office,184351,182717,2023,in compliance,,,80,34.1,94.7,34.1,94.7,1802765,792.3,421.5,4.2,425.7,,324.5,,,,21576.4,,,,,,,21900.9,119.86,
0027-0-00,5093 disk dr,san jose,CA,95134,1544021,1990,other,168011,200405,2023,in compliance,2023,compliant,66,17.7,36.6,18.6,37.3,990589.9,28143.1,231.6,149.5,381.1,389.6,75.9,,,,,,,,,,,465.5,1.4,
0028-0-00,5087 disk dr,san jose,CA,95134,1544026,1990,refrigerated warehouse,395200,178712,2023,in compliance,,,86,10.6,20.7,11.3,21.3,510703.6,18721.2,119.4,99.4,218.8,,114.6,,,,,,,,,,,114.6,0.36,
0029-0-00,5079 disk dr,san jose,CA,95134,1544026,2017,non-refrigerated warehouse,395200,259086,2023,exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,
0029-1-00,4550 n 1st st,san jose,CA,95134,1544027,2018,office,332000,83051,2023,exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030-0-00,4500 n 1st st,san jose,CA,95134,1544028,2016,,83000,,2023,exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030-1-00,656 america center ct,alviso,CA,95002,1545013,2019,hotel,166340,166340,2023,in compliance,,,95,51.4,98.3,51.3,98.1,1384441.6,38052.4,289.5,202.1,491.6,,4369,,,,,,,,,,,4369,26.27,
0031-0-00,510 america center court,san jose,CA,95002,1545048,2021,hotel,82360,92684,2023,in compliance,,,53,55.8,110.5,55.8,110.5,806245.9,24210.9,188.5,128.6,317.1,,4431.5,,,,,,,,,,,4431.5,47.81,
0032-0-00,6001 america center dr,alviso,CA,95002,1545049,2009,office,212863,212863,2023,in compliance,,,99,27.1,59.6,27.1,59.6,1110728,19823.8,259.7,105.3,365,97.8,,4010.7,,,,,,,,,,4108.5,19.3,
0033-0-00,6220 america center drive,san jose,CA,95002,1545051,2017,office,215834,220761,2023,in compliance,2023,compliant,97,29.2,66.3,29.6,66.3,1302096,20908.6,304.4,111.1,415.5,514.1,,1092.7,,,,,,,,,,1606.8,7.28,
0034-0-00,6280 america center dr,alviso,CA,95002,1545052,2017,office,481246,220761,2023,in compliance,,,78,95.7,198.6,94.8,196.1,3571402,87373.6,835,464.1,1299.1,1044.1,,2615,,,,,,,,,,3659.1,16.58,
0035-0-00,6201 america center dr,alviso,CA,95002,1545053,2009,office,213800,209212,2023,in compliance,,,78,59,121.1,59.1,120.1,2034420,54242.3,492.4,288.1,780.5,1267.2,,3043,,,,,,,,,,4310.2,20.6,
0037-0-00,1900-1902 lakewood dr,san jose,CA,95132,9201016,1975,multifamily housing,140800,113629,2023,in compliance,,,98,31.5,52.1,32.6,53.3,362137.3,24727.6,84.7,131.3,216,,8116.4,,,,,,,,,,,8116.4,71.43,33
0038-0-00,1953 via reggio ct,san jose,CA,95132,9201018,1988,multifamily housing,37530,39290,2023,in compliance,,,100,21,28.2,21.4,28.6,40226.3,7037.9,9.4,37.4,46.8,,2579.8,,,,,,,,,,,2579.8,65.66,30
0039-0-00,2155 morrill ave,san jose,CA,95132,9209010,1990,retail store,108268,108268,2023,in compliance,2023,compliant,89,96.4,254.1,95.9,252.9,1523073,5363.5,368.6,28.5,397.1,,1502,,,,,,,,,,,1502,25.14,
0040-0-00,2115 morrill ave,san jose,CA,95132,9209011,1972,retail store,24340,24340,2023,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,
0041-0-00,2105 morrill ave,san jose,CA,95132,9209012,2000,retail store,20317,20317,2023,in compliance,,,86,48.3,116.5,50.5,118.1,215753,2622,50.4,13.9,64.4,141.4,,,,,,,,,,,,141.4,7.14,
0044-0-00,100 headquarters dr,san jose,CA,95134,9703127,1999,office,46070,46070,2023,in compliance,,,43,85.1,169.4,87.2,170.6,609734,19358.2,142.6,102.8,245.4,,73.8,,,,,,,,,,,73.8,1.6,
0045-0-00,450 holger way,san jose,CA,95134,9703129,1999,other,93210,98432,2023,in compliance,,,,151.3,330.2,150.7,328.6,2807739,52558.8,656.5,279.2,935.6,300.6,,,,,1441.5,,,,,,,1742.1,17.7,
0046-0-00,400 holger way,san jose,CA,95134,9703130,2005,data center,76410,76410,2023,in compliance,2023,exempt,1,1368,2353.9,1368,2353.9,11741630,644641.9,2745.3,3424,6169.3,50.9,,1385.2,,,,,,,,,,1436.1,18.79,
0047-0-00,350 holger way,san jose,CA,95134,9703131,1999,office,96710,96502,2023,in compliance,2023,not submitted,44,92.8,207.1,94.4,208.9,1773804,30578.3,429.3,162.4,591.7,113.5,,0,,,671.7,,,,,,,785.2,8.14,
0048-0-00,300 holger way,san jose,CA,95134,9703132,1999,office,99870,101194,2023,in compliance,,,,0.8,2.2,0.8,2.2,23415.6,0,5.5,0,5.5,0,,,,,544.2,,,,,,,544.2,5.38,
0049-0-00,250 holger way,san jose,CA,95134,9703133,1999,office,76410,77209,2023,in compliance,,,33,77.6,130.3,79.8,131.8,621054.2,40443.9,145.2,214.8,360,1125.8,,,,,655.6,,,,,,,1781.4,23.07,
0050-0-00,200 holger way,san jose,CA,95134,9703134,2001,office,96640,96640,2023,in compliance,,,22,98.7,256.8,98.6,253.9,2434172,12229,569.1,65,634.1,,632.2,,,,,,,,,,,632.2,6.54,
0051-0-00,3103 n 1st st,san jose,CA,95134,9706047,1995,office,97912,94328,2023,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,
0055-0-00,251 brandon st,san jose,CA,95134,9706057,2015,multifamily housing,233014,289052,2023,in compliance,,,97,31,57.1,31.5,57.6,1187882,50395.7,277.7,267.7,545.4,8245.2,,7366.8,,,,,,,,,,15612,54.01,20
0056-0-00,3101 n 1st st,san jose,CA,95134,9706060,1995,office,95030,94328,2023,not submitted,2023,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0057-0-00,3477 lily way,san jose,CA,95134,9706061,2014,multifamily housing,122007,153782,2023,in compliance,2023,compliant,87,52.5,82.9,53.8,84.1,710885.4,58431.7,166.2,310.4,476.6,,5286.5,,,,,,,,,,,5286.5,34.38,60
0058-0-00,250 brandon st,san jose,CA,95134,9706062,2014,multifamily housing,182414,236048,2023,in compliance,,,82,51.5,85,53,86.3,1213493,83607.3,283.7,444.1,727.8,,12891.5,,,,,,,,,,,12891.5,54.61,17
0059-0-00,55 river oaks pl,san jose,CA,95134,9706063,2015,multifamily housing,302570,415641,2023,in compliance,,,70,53.4,89.4,54.3,90.3,2318713,146508.9,542.1,778.2,1320.3,,9509.4,,,,1985.2,,,,,,,11494.7,27.66,68
0060-0-00,52 skytop st,san jose,CA,95134-2186,9706066,2016,multifamily housing,261309,346621,2023,in compliance,,,93,43.6,70.2,44.7,71.4,1419141,106634.4,331.8,566.4,898.2,,10821.5,,,,,,,,,,,10821.5,31.22,60
0061-0-00,3473 n 1st st,san jose,CA,95134-1801,9706067,2015,multifamily housing,257196,319309,2023,in compliance,,,93,45.6,73.8,46.7,74.8,1379627,102041.8,322.6,542,864.6,,11164.9,,,,,,,,,,,11164.9,34.97,57
0062-0-00,191 baypointe pkwy,san jose,CA,95134,9707030,1986,college/university,45848,45800,2023,in compliance,,,,24.7,64.6,25.1,64.9,296096.5,1387.6,69.2,7.4,76.6,173.1,,82.3,,,,,,,,,,255.3,5.58,
0063-0-00,90 e tasman dr,san jose,CA,95134,9707038,1984,medical office,96154,96154,2023,in compliance,,,99,48.4,74.7,50.8,77.2,712165.9,24519.4,92,130.2,222.3,479.8,,779.6,,,,,,,,,,1259.4,13.1,
0064-0-00,3550 n 1st st,san jose,CA,95134,9707040,2000,other - technology/science,76690,76690,2023,in compliance,2023,not submitted,,14.1,39.5,14.1,39.5,316676.7,4.2,74,0,74.1,231.4,,3146.1,,,,,,,,,,3377.5,44.04,
0065-0-00,210 baypointe pkwy,san jose,CA,95134,9707046,1985,,67984,,2023,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,
0066-0-00,3590 n 1st st,san jose,CA,95134,9707061,1989,office,85006,84035,2023,in compliance,2023,compliant,84,76.3,172.8,77.1,173.6,1303746,20348.8,486.5,108.1,594.5,720.7,,1814,,,,,,,,,,2534.7,30.16,
0067-0-00,160 e tasman dr,san jose,CA,95134,9707065,1990,office,110000,109243,2023,in compliance,,,80,50,113.1,50.9,113.6,1100488,18060.6,257.3,95.9,353.2,195.4,,1571.8,,,,,,,,,,1767.2,16.18,
