SAN JOSE BUILDING ID,STREET,CITY,STATE,ZIP CODE,ASSESSOR PARCEL NUMBER,YEAR BUILT,PRIMARY PROPERTY TYPE,ASSESSOR GROSS FLOOR AREA (ft^2),REPORTED GROSS FLOOR AREA (ft^2),ANNUAL REPORTING YEAR,ANNUAL BENCHMARKING STATUS,ENERGY STAR SCORE,WEATHER NORMALIZED SITE ENERGY USE INTENSITY (kBTU/ft^2),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (kBTU/ft^2),SITE ENERGY USE INTENSITY (kBTU/ft^2),SOURCE ENERGY USE INTENSITY (kBTU/ft^2),TOTAL ELECTRICITY USE (kWh),TOTAL NATURAL GAS USE (therms),INDIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),DIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),TOTAL GREENHOUSE GAS EMISSIONS (metric tons of CO2e),MUNICIPALLY SUPPLIED WATER INDOOR USE (kgal),MUNICIPALLY SUPPLIED WATER MIXED USE (kgal),MUNICIPALLY SUPPLIED WATER OUTDOOR USE (kgal),RECYCLED WATER INDOOR USE (kgal),RECYCLED WATER MIXED USE (kgal),RECYCLED WATER OUTDOOR USE (kgal),WELL WATER INDOOR USE (kgal),WELL WATER MIXED USE (kgal),WELL WATER OUTDOOR USE (kgal),OTHER WATER INDOOR USE (kgal),OTHER WATER MIXED USE (kgal),OTHER WATER OUTDOOR USE (kgal),TOTAL WATER USE (kgal),WATER USE INTENSITY (gal/ft^2),US EPA WATER SCORE
0003-0-00,161 nortech pkwy,san jose,CA,95134,1530082,1996,worship facility,71800,71800,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0008-0-00,170 baytech dr,san jose,CA,95134,1530099,1997,office,76799,76799,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0008-1-00,180 baytech dr,san jose,CA,95134,1530099,1997,office,74012,74012,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0009-0-00,150-160 baytech dr,san jose,CA,95134,1530100,2000,office,150000,150000,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0010-0-00,4435 fortran dr,san jose,CA,95134,1530101,1986,worship facility,77805,77805,2019,in compliance,72,17.7,37.1,18.1,37.5,,5854.999617,,31.1,,,,,,,,,,,,,,846.6,10.92,
0011-0-00,4425 fortran dr,san jose,CA,95134,1530102,1986,office,76297,76319,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0012-0-00,4415 fortran dr,san jose,CA,95134,1530103,1986,worship facility,76567,76567,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0013-0-00,4413 fortran dr,san jose,CA,95134,1530104,1986,worship facility,66368,66000,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0013-1-00,110 baytech dr,san jose,CA,95134,1530107,1997,office,55976,57976,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
0013-2-00,120 baytech dr,san jose,CA,95134,1530108,1997,,132265,,2019,not submitted,,,,,,,,,,,,,,,,,,,,,,,,,
